Geneset.Name,Number.of.Genes,meta.p,bootstrap.p,BRCA,COAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,STAD,THCA
Alpha9 beta1 integrin signaling events,25,0.0209,0.0375,0.001996,0.001996,0.229541,0.001996,0.50499,0.217565,0.095808,0.083832,0.684631,0.0499,0.001996
Alzheimer disease-amyloid secretase pathway,63,0.0034,0.0107,0.001996,0.001996,0.155689,0.001996,0.003992,0.512974,0.025948,0.003992,0.011976,0.00998,0.021956
Alzheimer disease-presenilin pathway,111,0.0032,0.0129,0.001996,0.001996,0.003992,0.001996,0.005988,0.612774,0.00998,0.067864,0.011976,0.00998,0.001996
amb2 Integrin signaling,32,0.0232,0.0432,0.001996,0.139721,0.279441,0.091816,0.087824,0.896208,0.001996,0.001996,0.211577,0.145709,0.317365
Aminosugars metabolism,16,0.0196,0.0461,0.902196,0.449102,0.788423,0.001996,0.001996,0.175649,0.013972,0.005988,0.001996,0.139721,0.864271
Angiogenesis,152,0.0056,0.0139,0.001996,0.001996,0.065868,0.001996,0.01996,0.195609,0.00998,0.007984,0.155689,0.123752,0.02994
Angiopoietin receptor Tie2-mediated signaling,50,0.0198,0.034,0.001996,0.05988,0.42515,0.00998,0.015968,0.578842,0.001996,0.005988,0.071856,0.145709,0.323353
Angiotensin_II-stimulated_signaling_through_G_proteins_and_beta-arrestin,35,0.0077,0.0228,0.001996,0.001996,0.714571,0.001996,0.243513,0.001996,0.005988,0.001996,0.007984,0.01996,0.902196
AP-1 transcription factor network,71,0.0096,0.0213,0.001996,0.005988,0.001996,0.001996,0.273453,0.127745,0.011976,0.001996,0.690619,0.017964,0.00998
Apoptosis signaling pathway,108,0.0058,0.0145,0.001996,0.001996,0.083832,0.001996,0.08982,0.097804,0.02994,0.003992,0.131737,0.001996,0.359281
Arf1 pathway,28,0.0818,0.0904,0.05988,0.041916,0.209581,0.443114,0.219561,0.355289,0.001996,0.493014,0.113772,0.143713,0.397206
Arf6 downstream pathway,15,0.031,0.0483,0.053892,0.001996,0.001996,0.00998,0.005988,0.00998,0.289421,0.173653,0.646707,0.804391,0.858283
Arf6 signaling events,36,0.0037,0.0121,0.001996,0.001996,0.073852,0.001996,0.025948,0.457086,0.001996,0.001996,0.003992,0.071856,0.003992
Arf6 trafficking events,48,0.0118,0.0201,0.001996,0.001996,0.025948,0.011976,0.003992,0.161677,0.11976,0.011976,0.047904,0.001996,0.065868
Arginine and Proline metabolism,48,0.002,0.0093,0.00998,0.001996,0.005988,0.001996,0.001996,0.017964,0.001996,0.02994,0.027944,0.47505,0.001996
ATF-2 transcription factor network,59,0.0107,0.0218,0.001996,0.003992,0.003992,0.001996,0.353293,0.085828,0.027944,0.003992,0.682635,0.011976,0.031936
ATM pathway,34,0.0169,0.0314,0.033932,0.017964,0.087824,0.06986,0.443114,0.001996,0.001996,0.001996,0.562874,0.031936,0.145709
ATR signaling pathway,39,3.00E-04,0.0054,0.001996,0.001996,0.013972,0.013972,0.001996,0.001996,0.001996,0.001996,0.421158,0.015968,0.399202
Atypical NF-kappaB pathway,14,0.1037,0.125,0.003992,0.794411,0.193613,0.033932,0.367265,0.371257,0.02994,0.045908,0.163673,0.001996,0.820359
Aurora A signaling,33,0.002,0.0121,0.001996,0.001996,0.081836,0.063872,0.001996,0.007984,0.001996,0.005988,0.487026,0.021956,0.471058
Aurora B signaling,41,5.00E-04,0.0058,0.001996,0.001996,0.103792,0.095808,0.001996,0.00998,0.001996,0.001996,0.199601,0.001996,0.381238
Axon guidance mediated by netrin,30,0.0225,0.0349,0.001996,0.00998,0.027944,0.001996,0.091816,0.373253,0.001996,0.187625,0.055888,0.043912,0.043912
Axon guidance mediated by semaphorins,19,0.0142,0.0297,0.001996,0.023952,0.03992,0.003992,0.041916,0.315369,0.001996,0.001996,0.337325,0.077844,0.728543
Axon guidance mediated by Slit;Robo,18,0.0576,0.0708,0.053892,0.0499,0.033932,0.459082,0.055888,0.654691,0.003992,0.001996,0.229541,0.033932,0.630739
B cell activation,56,0.0188,0.0326,0.001996,0.017964,0.001996,0.001996,0.500998,0.173653,0.017964,0.031936,0.497006,0.011976,0.508982
B cell receptor signaling,92,0.0272,0.0406,0.001996,0.001996,0.043912,0.011976,0.03992,0.165669,0.007984,0.077844,0.612774,0.025948,0.798403
BARD1 signaling events,29,0.0022,0.0108,0.001996,0.001996,0.003992,0.07984,0.035928,0.001996,0.001996,0.001996,0.275449,0.013972,0.429142
BCR signaling pathway,70,0.0141,0.0268,0.001996,0.001996,0.003992,0.001996,0.035928,0.121756,0.005988,0.035928,0.45509,0.00998,0.516966
Beta1 adrenergic receptor signaling pathway,32,0.0105,0.0238,0.001996,0.001996,0.263473,0.001996,0.02994,0.051896,0.00998,0.035928,0.139721,0.001996,0.423154
Beta1 integrin cell surface interactions,70,0.0072,0.0186,0.001996,0.061876,0.091816,0.001996,0.351297,0.580838,0.001996,0.263473,0.005988,0.037924,0.001996
Beta2 integrin cell surface interactions,29,0.0217,0.035,0.011976,0.025948,0.097804,0.001996,0.103792,0.38523,0.055888,0.001996,0.151697,0.135729,0.021956
Beta3 integrin cell surface interactions,44,0.0049,0.0141,0.001996,0.021956,0.005988,0.001996,0.153693,0.105788,0.001996,0.131737,0.053892,0.103792,0.001996
Beta5 beta6 beta7 and beta8 integrin cell surface interactions,17,0.0397,0.0635,0.001996,0.001996,0.011976,0.147705,0.333333,0.502994,0.005988,0.704591,0.253493,0.55489,0.005988
Blood coagulation,38,0.0061,0.0226,0.001996,0.05988,0.11976,0.001996,0.001996,0.011976,0.055888,0.001996,0.139721,0.634731,0.001996
BMP receptor signaling,42,0.0082,0.0168,0.001996,0.001996,0.177645,0.01996,0.017964,0.10978,0.007984,0.001996,0.107784,0.015968,0.39521
BMP2 signaling(through TAK1),15,0.0832,0.1059,0.07984,0.001996,0.708583,0.001996,0.696607,0.159681,0.287425,0.083832,0.013972,0.03992,0.9002
Butanoate metabolism,17,0.0047,0.0155,0.001996,0.001996,0.015968,0.001996,0.02994,0.001996,0.021956,0.067864,0.053892,0.205589,0.041916
C. elegans endoderm induction Wnt signaling pathway Diagram,91,0.0047,0.0127,0.001996,0.001996,0.067864,0.001996,0.057884,0.115768,0.007984,0.041916,0.041916,0.043912,0.003992
C-MYB transcription factor network,87,0.0077,0.0161,0.001996,0.003992,0.081836,0.001996,0.091816,0.093812,0.001996,0.001996,0.131737,0.015968,0.203593
C-MYC pathway,25,0.045,0.0682,0.003992,0.127745,0.714571,0.015968,0.471058,0.493014,0.003992,0.0499,0.842315,0.149701,0.181637
Cadherin signaling pathway,150,0.005,0.0144,0.001996,0.113772,0.125749,0.001996,0.01996,0.157685,0.001996,0.001996,0.223553,0.001996,0.005988
Calcineurin-regulated NFAT-dependent transcription in lymphocytes,50,0.0227,0.0403,0.001996,0.08982,0.001996,0.003992,0.143713,0.299401,0.001996,0.001996,0.794411,0.125749,0.552894
Calcium signaling in the CD4+ TCR pathway,29,0.0394,0.0588,0.001996,0.241517,0.001996,0.001996,0.431138,0.225549,0.023952,0.105788,0.047904,0.44511,0.558882
Canonical NF-kappaB pathway,24,0.0945,0.1089,0.015968,0.005988,0.015968,0.025948,0.409182,0.189621,0.093812,0.085828,0.710579,0.177645,0.682635
Canonical Wnt signaling pathway,21,0.0265,0.0401,0.003992,0.001996,0.001996,0.113772,0.00998,0.934132,0.001996,0.00998,0.035928,0.193613,0.690619
Canonical Wnt signaling pathway Diagram,91,0.0051,0.0135,0.001996,0.001996,0.077844,0.001996,0.071856,0.121756,0.001996,0.03992,0.045908,0.033932,0.001996
Caspase Cascade in Apoptosis,57,0.0073,0.0176,0.001996,0.001996,0.077844,0.001996,0.221557,0.43513,0.005988,0.00998,0.46507,0.01996,0.171657
CD4 T cell receptor signaling,88,0.0075,0.0226,0.001996,0.151697,0.005988,0.001996,0.169661,0.229541,0.001996,0.001996,0.46507,0.003992,0.706587
CD4 T cell receptor signaling (ERK cascade),45,0.0036,0.0133,0.001996,0.041916,0.001996,0.001996,0.265469,0.249501,0.001996,0.001996,0.199601,0.001996,0.143713
CD4 T cell receptor signaling (JNK cascade),53,0.0067,0.0157,0.003992,0.131737,0.0998,0.001996,0.253493,0.05988,0.001996,0.001996,0.257485,0.027944,0.013972
CD4 T cell receptor signaling (NF-kB cascade),57,0.0046,0.0145,0.001996,0.07984,0.005988,0.001996,0.281437,0.091816,0.001996,0.001996,0.141717,0.005988,0.133733
CD40;CD40L signaling,36,0.0382,0.0601,0.001996,0.077844,0.003992,0.003992,0.315369,0.688623,0.001996,0.00998,0.319361,0.55489,0.796407
CDC42 signaling events,71,0.029,0.0397,0.0499,0.001996,0.001996,0.013972,0.155689,0.646707,0.005988,0.02994,0.451098,0.085828,0.42515
Cell cycle,14,0.0082,0.0218,0.001996,0.015968,0.021956,0.00998,0.021956,0.768463,0.001996,0.001996,0.061876,0.027944,0.033932
Cellular roles of Anthrax toxin,25,0.0193,0.037,0.001996,0.001996,0.001996,0.005988,0.001996,0.125749,0.205589,0.001996,0.113772,0.139721,0.746507
Ceramide signaling pathway,49,0.0126,0.0238,0.005988,0.001996,0.333333,0.001996,0.087824,0.077844,0.091816,0.151697,0.003992,0.013972,0.443114
Cholesterol biosynthesis,12,0.2227,0.2352,0.175649,0.071856,0.978044,0.087824,0.411178,0.542914,0.085828,0.46507,0.616766,0.065868,0.37525
Circadian rhythm pathway,17,0.0111,0.0235,0.007984,0.047904,0.001996,0.770459,0.065868,0.263473,0.001996,0.001996,0.07984,0.015968,0.163673
Citrate cycle,27,0.0053,0.016,0.001996,0.001996,0.001996,0.001996,0.001996,0.38523,0.137725,0.293413,0.351297,0.035928,0.005988
Class I PI3K signaling events,46,0.0248,0.0415,0.001996,0.043912,0.001996,0.243513,0.287425,0.433134,0.001996,0.001996,0.582834,0.063872,0.365269
Class I PI3K signaling events mediated by Akt,35,0.0418,0.0516,0.011976,0.007984,0.251497,0.003992,0.373253,0.171657,0.095808,0.542914,0.015968,0.159681,0.031936
Coregulation of Androgen receptor activity,61,0.0115,0.0202,0.003992,0.001996,0.083832,0.141717,0.113772,0.269461,0.00998,0.001996,0.011976,0.00998,0.301397
CXCR3-mediated signaling events,38,0.0313,0.0477,0.015968,0.001996,0.776447,0.283433,0.093812,0.06986,0.0499,0.001996,0.025948,0.011976,0.43513
CXCR4-mediated signaling events,87,0.0045,0.0177,0.001996,0.001996,0.001996,0.001996,0.473054,0.45509,0.001996,0.001996,0.441118,0.031936,0.271457
Cytoskeletal regulation by Rho GTPase,70,0.0197,0.0382,0.694611,0.025948,0.001996,0.001996,0.07984,0.37525,0.001996,0.045908,0.37525,0.003992,0.329341
De novo purine biosynthesis,26,0.0075,0.021,0.001996,0.001996,0.003992,0.001996,0.087824,0.772455,0.183633,0.001996,0.035928,0.08982,0.013972
De novo pyrimidine deoxyribonucleotide biosynthesis,12,0.0083,0.0296,0.003992,0.001996,0.239521,0.001996,0.10978,0.419162,0.001996,0.001996,0.191617,0.213573,0.0998
Degradation of beta catenin,18,0.0765,0.0944,0.001996,0.171657,0.013972,0.179641,0.051896,0.497006,0.073852,0.942116,0.538922,0.05988,0.045908
Direct p53 effectors,140,0.0015,0.0081,0.001996,0.001996,0.001996,0.001996,0.005988,0.031936,0.001996,0.001996,0.471058,0.183633,0.003992
DNA-PK pathway in nonhomologous end joining,13,0.1495,0.1704,0.239521,0.005988,0.163673,0.001996,0.071856,0.918164,0.195609,0.746507,0.00998,0.067864,0.630739
DNA replication,18,0.002,0.0119,0.017964,0.001996,0.06986,0.121756,0.001996,0.001996,0.001996,0.001996,0.211577,0.083832,0.812375
Downstream signaling in na?ve CD8+ T cells,69,0.0075,0.0222,0.001996,0.08982,0.159681,0.001996,0.043912,0.57485,0.001996,0.001996,0.650699,0.003992,0.187625
Drosophila Toll-like receptor signaling,236,0.0027,0.0109,0.001996,0.001996,0.017964,0.001996,0.003992,0.209581,0.001996,0.001996,0.115768,0.023952,0.329341
Drosophila Wingless;Wnt signaling pathway Diagram,91,0.0048,0.0133,0.001996,0.001996,0.063872,0.001996,0.08982,0.103792,0.003992,0.025948,0.053892,0.043912,0.005988
E-cadherin signaling in keratinocytes,21,0.0551,0.0713,0.155689,0.041916,0.121756,0.001996,0.005988,0.928144,0.07984,0.025948,0.103792,0.371257,0.407186
E-cadherin signaling in the nascent adherens junction,37,0.0243,0.0365,0.001996,0.003992,0.00998,0.015968,0.011976,0.51497,0.005988,0.015968,0.439122,0.305389,0.051896
E2F transcription factor network,77,6.00E-04,0.0064,0.001996,0.001996,0.015968,0.005988,0.001996,0.003992,0.001996,0.001996,0.361277,0.001996,0.179641
EGF receptor signaling pathway,115,0.004,0.0108,0.001996,0.001996,0.043912,0.001996,0.033932,0.021956,0.005988,0.001996,0.041916,0.01996,0.133733
EGF signaling pathway Diagram,28,0.0424,0.0587,0.047904,0.011976,0.041916,0.001996,0.339321,0.159681,0.542914,0.021956,0.007984,0.361277,0.506986
Endogenous TLR signaling,26,0.0241,0.0411,0.003992,0.139721,0.183633,0.011976,0.518962,0.183633,0.001996,0.003992,0.005988,0.49501,0.221557
Endogenous_cannabinoid_signaling,24,0.014,0.0345,0.001996,0.001996,0.077844,0.017964,0.077844,0.421158,0.113772,0.001996,0.007984,0.001996,0.824351
Endothelins,64,0.0033,0.0106,0.001996,0.001996,0.11976,0.003992,0.003992,0.001996,0.133733,0.001996,0.107784,0.051896,0.005988
Enkephalin release,33,0.012,0.0264,0.001996,0.001996,0.852295,0.001996,0.005988,0.165669,0.02994,0.001996,0.053892,0.003992,0.830339
EPHA forward signaling,33,0.0065,0.0174,0.001996,0.003992,0.027944,0.001996,0.734531,0.087824,0.005988,0.001996,0.165669,0.179641,0.001996
EPHA2 forward signaling,19,0.119,0.1463,0.001996,0.277445,0.025948,0.081836,0.333333,0.994012,0.077844,0.756487,0.355289,0.091816,0.05988
EPHB forward signaling,40,0.0312,0.0494,0.007984,0.001996,0.023952,0.001996,0.045908,0.437126,0.137725,0.646707,0.127745,0.041916,0.267465
Ephrin B reverse signaling,26,0.0248,0.0408,0.001996,0.001996,0.023952,0.001996,0.05988,0.025948,0.377246,0.327345,0.149701,0.568862,0.003992
EPO signaling pathway,33,0.0063,0.0174,0.001996,0.011976,0.015968,0.011976,0.359281,0.075848,0.001996,0.001996,0.085828,0.085828,0.021956
ErbB receptor signaling network,15,0.0565,0.0794,0.035928,0.001996,0.41517,0.001996,0.06986,0.518962,0.001996,0.836327,0.922156,0.231537,0.231537
ErbB1 downstream signaling,105,0.0236,0.0341,0.053892,0.021956,0.003992,0.063872,0.031936,0.343313,0.013972,0.001996,0.037924,0.229541,0.413174
ErbB2;ErbB3 signaling events,41,0.0457,0.0608,0.005988,0.001996,0.323353,0.031936,0.081836,0.269461,0.215569,0.471058,0.101796,0.025948,0.173653
ErbB4 signaling events,35,0.0185,0.0285,0.00998,0.007984,0.005988,0.001996,0.011976,0.467066,0.013972,0.001996,0.237525,0.033932,0.143713
Fanconi anemia pathway,48,6.00E-04,0.0077,0.003992,0.001996,0.027944,0.047904,0.001996,0.001996,0.001996,0.001996,0.349301,0.005988,0.46507
FAS (CD95) signaling pathway,36,0.0157,0.029,0.001996,0.001996,0.061876,0.001996,0.698603,0.125749,0.055888,0.223553,0.037924,0.015968,0.0998
Fas(lowercase) signaling pathway,24,0.0268,0.0412,0.007984,0.095808,0.001996,0.001996,0.500998,0.01996,0.135729,0.135729,0.500998,0.065868,0.013972
FAS(uppercase) signaling pathway,37,0.0076,0.018,0.001996,0.001996,0.139721,0.001996,0.065868,0.139721,0.003992,0.005988,0.143713,0.017964,0.005988
Fc-epsilon receptor I signaling in mast cells,64,0.0064,0.0193,0.001996,0.017964,0.003992,0.001996,0.151697,0.38523,0.001996,0.001996,0.782435,0.011976,0.658683
FGF signaling pathway,60,0.0072,0.0162,0.001996,0.001996,0.06986,0.001996,0.045908,0.063872,0.001996,0.001996,0.10978,0.181637,0.341317
Folate metabolism,27,6.00E-04,0.006,0.001996,0.001996,0.001996,0.001996,0.001996,0.01996,0.001996,0.001996,0.275449,0.035928,0.001996
FOXA1 transcription factor network,45,0.0145,0.0261,0.001996,0.001996,0.007984,0.017964,0.027944,0.510978,0.05988,0.001996,0.00998,0.063872,0.331337
FOXA2 and FOXA3 transcription factor networks,45,0.0041,0.0131,0.001996,0.001996,0.147705,0.001996,0.001996,0.063872,0.00998,0.037924,0.001996,0.215569,0.015968
FOXM1 transcription factor network,42,5.00E-04,0.0064,0.001996,0.001996,0.00998,0.001996,0.001996,0.037924,0.001996,0.001996,0.267465,0.640719,0.363273
FoxO family signaling,50,0.0054,0.0142,0.001996,0.001996,0.001996,0.001996,0.275449,0.011976,0.001996,0.007984,0.001996,0.075848,0.60479
Fructose and Mannose metabolism,28,0.0101,0.0262,0.001996,0.283433,0.007984,0.001996,0.001996,0.123752,0.001996,0.015968,0.08982,0.087824,0.431138
GABA-B_receptor_II_signaling,35,0.0127,0.0328,0.001996,0.001996,0.303393,0.003992,0.085828,0.227545,0.035928,0.001996,0.263473,0.001996,0.473054
Gastrin_CCK2R_240212,149,0.0061,0.0141,0.001996,0.001996,0.037924,0.001996,0.007984,0.005988,0.053892,0.043912,0.041916,0.025948,0.013972
General transcription by RNA polymerase I,15,0.0762,0.1174,0.39521,0.001996,0.293413,0.459082,0.756487,0.155689,0.001996,0.001996,0.772455,0.355289,0.562874
General transcription regulation,30,0.119,0.143,0.309381,0.001996,0.341317,0.672655,0.173653,0.071856,0.051896,0.051896,0.820359,0.483034,0.101796
Glucocorticoid receptor regulatory network,85,0.0044,0.0138,0.001996,0.001996,0.053892,0.001996,0.005988,0.331337,0.001996,0.001996,0.215569,0.047904,0.173653
Glutamic acid and Glutamine metabolism,19,0.0374,0.0511,0.001996,0.001996,0.047904,0.001996,0.065868,0.047904,0.047904,0.187625,0.175649,0.481038,0.033932
Glycine and Serine metabolism,38,0.003,0.0113,0.001996,0.001996,0.127745,0.001996,0.001996,0.0499,0.001996,0.001996,0.085828,0.838323,0.003992
Glycolysis,17,0.0156,0.0335,0.001996,0.213573,0.061876,0.001996,0.001996,0.077844,0.189621,0.005988,0.295409,0.023952,0.127745
Glycolysis and Gluconeogenesis,41,0.0028,0.0094,0.001996,0.007984,0.001996,0.001996,0.001996,0.001996,0.001996,0.113772,0.023952,0.125749,0.001996
Glypican 1 network,26,0.008,0.017,0.001996,0.021956,0.063872,0.001996,0.023952,0.606786,0.001996,0.001996,0.181637,0.007984,0.00998
GMCSF-mediated signaling events,38,0.0255,0.0432,0.001996,0.003992,0.001996,0.06986,0.413174,0.137725,0.001996,0.021956,0.794411,0.047904,0.183633
GPCR Adenosine A2A receptor signaling pathway,36,0.0144,0.0253,0.001996,0.003992,0.481038,0.001996,0.007984,0.207585,0.205589,0.00998,0.047904,0.005988,0.632735
GPCR Dopamine D1like receptor signaling pathway,50,0.0195,0.0403,0.409182,0.001996,0.105788,0.001996,0.007984,0.668663,0.247505,0.00998,0.179641,0.007984,0.011976
GPCR GroupI metabotropic glutamate receptor signaling pathway,28,0.0029,0.0101,0.001996,0.001996,0.015968,0.001996,0.047904,0.003992,0.001996,0.001996,0.067864,0.007984,0.373253
Hedgehog signaling events mediated by Gli proteins,49,0.0133,0.0239,0.001996,0.001996,0.003992,0.141717,0.073852,0.812375,0.185629,0.007984,0.045908,0.023952,0.011976
Hedgehog signaling pathway,33,0.0239,0.0396,0.001996,0.239521,0.001996,0.007984,0.261477,0.499002,0.331337,0.227545,0.047904,0.001996,0.023952
Heme biosynthesis,11,0.1363,0.1662,0.125749,0.003992,0.532934,0.07984,0.682635,0.107784,0.131737,0.003992,0.285429,0.469062,0.972056
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,152,0.0054,0.0173,0.001996,0.001996,0.097804,0.001996,0.003992,0.153693,0.001996,0.003992,0.175649,0.01996,0.055888
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,118,0.0025,0.0105,0.001996,0.001996,0.003992,0.001996,0.001996,0.015968,0.001996,0.001996,0.08982,0.003992,0.413174
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,35,0.0326,0.0555,0.001996,0.015968,0.311377,0.001996,0.001996,0.481038,0.299401,0.185629,0.293413,0.001996,0.832335
HGF signaling pathway,35,0.0188,0.0319,0.005988,0.003992,0.129741,0.007984,0.55489,0.047904,0.015968,0.001996,0.091816,0.01996,0.62475
HIF-1-alpha transcription factor network,67,0.0036,0.013,0.001996,0.001996,0.095808,0.001996,0.001996,0.08982,0.001996,0.001996,0.612774,0.684631,0.065868
HIF-2-alpha transcription factor network,34,0.013,0.0271,0.005988,0.001996,0.566866,0.001996,0.087824,0.473054,0.003992,0.001996,0.479042,0.041916,0.163673
Histidine degradation,23,0.0036,0.014,0.001996,0.05988,0.081836,0.001996,0.001996,0.013972,0.001996,0.001996,0.021956,0.471058,0.03992
HIV-1 Nef; Negative effector of Fas and TNF-alpha,33,0.029,0.0476,0.001996,0.015968,0.105788,0.001996,0.011976,0.413174,0.001996,0.141717,0.948104,0.007984,0.654691
Huntington disease,118,0.0044,0.0105,0.001996,0.001996,0.007984,0.00998,0.005988,0.243513,0.001996,0.001996,0.025948,0.015968,0.037924
Hypoxia response via HIF activation,19,0.1076,0.1259,0.221557,0.005988,0.409182,0.361277,0.253493,0.912176,0.041916,0.197605,0.249501,0.01996,0.810379
Hypoxic and oxygen homeostasis regulation of HIF-1-alpha,19,0.1129,0.1319,0.461078,0.027944,0.077844,0.083832,0.918164,0.972056,0.191617,0.01996,0.121756,0.115768,0.173653
IFN-gamma pathway,43,0.0156,0.0258,0.001996,0.007984,0.01996,0.007984,0.013972,0.269461,0.015968,0.015968,0.047904,0.051896,0.083832
IFN alpha signaling(JAK1 TYK2 STAT1 STAT2 STAT3),21,0.1103,0.1358,0.005988,0.013972,0.572854,0.003992,0.235529,0.698603,0.289421,0.41517,0.401198,0.001996,0.245509
IGF1 pathway,30,0.0857,0.0999,0.001996,0.05988,0.171657,0.283433,0.203593,0.113772,0.447106,0.065868,0.491018,0.433134,0.203593
IGF1 signaling pathway,36,0.0433,0.0601,0.463074,0.001996,0.267465,0.213573,0.011976,0.091816,0.233533,0.00998,0.175649,0.508982,0.133733
IL-1 signaling pathway (through JNK cascade),31,0.0419,0.0523,0.025948,0.001996,0.183633,0.005988,0.295409,0.065868,0.125749,0.03992,0.055888,0.03992,0.678643
IL-1 signaling pathway (through NF-kappaB),15,0.0534,0.0713,0.001996,0.241517,0.003992,0.145709,0.253493,0.031936,0.139721,0.033932,0.115768,0.287425,0.794411
IL-1 signaling pathway (through p38 cascade),29,0.0586,0.069,0.113772,0.001996,0.41517,0.003992,0.487026,0.303393,0.0998,0.211577,0.06986,0.107784,0.413174
IL-5 signaling(JAK1 JAK2 STAT1 STAT5),11,0.0189,0.0383,0.001996,0.001996,0.007984,0.031936,0.383234,0.942116,0.001996,0.001996,0.045908,0.103792,0.163673
IL1-mediated signaling events,34,0.0298,0.0449,0.001996,0.105788,0.015968,0.001996,0.199601,0.005988,0.40519,0.013972,0.664671,0.017964,0.668663
IL12-mediated signaling events,62,0.0015,0.0074,0.001996,0.005988,0.037924,0.001996,0.035928,0.209581,0.001996,0.001996,0.111776,0.001996,0.00998
IL12 signaling mediated by STAT4,33,0.0046,0.0138,0.001996,0.117764,0.015968,0.001996,0.411178,0.135729,0.001996,0.001996,0.111776,0.005988,0.111776
IL2-mediated signaling events,54,0.0046,0.0177,0.001996,0.001996,0.001996,0.001996,0.051896,0.247505,0.001996,0.001996,0.590818,0.095808,0.157685
IL2 signaling events mediated by PI3K,38,0.0247,0.039,0.001996,0.011976,0.001996,0.055888,0.281437,0.215569,0.013972,0.101796,0.243513,0.081836,0.025948
IL2 signaling events mediated by STAT5,30,0.0145,0.0305,0.001996,0.125749,0.025948,0.001996,0.101796,0.473054,0.001996,0.001996,0.43513,0.025948,0.191617
IL23-mediated signaling events,37,0.0227,0.0394,0.001996,0.087824,0.283433,0.001996,0.187625,0.760479,0.001996,0.003992,0.417166,0.003992,0.271457
IL27-mediated signaling events,26,0.0193,0.0383,0.001996,0.289421,0.219561,0.001996,0.125749,0.237525,0.025948,0.001996,0.017964,0.01996,0.237525
IL3-mediated signaling events,27,0.0249,0.0415,0.001996,0.085828,0.219561,0.053892,0.133733,0.50499,0.001996,0.003992,0.155689,0.081836,0.045908
IL4-mediated signaling events,66,0.0042,0.0144,0.001996,0.001996,0.047904,0.001996,0.001996,0.091816,0.001996,0.001996,0.47505,0.211577,0.137725
IL5-mediated signaling events,14,0.0372,0.0633,0.001996,0.067864,0.047904,0.023952,0.844311,0.027944,0.003992,0.001996,0.532934,0.071856,0.441118
IL6-mediated signaling events,48,0.0092,0.0182,0.001996,0.00998,0.011976,0.143713,0.245509,0.011976,0.003992,0.001996,0.383234,0.047904,0.003992
IL8- and CXCR2-mediated signaling events,35,0.0122,0.0311,0.001996,0.303393,0.055888,0.001996,0.89022,0.305389,0.001996,0.001996,0.179641,0.001996,0.680639
Inflammation mediated by chemokine and cytokine signaling pathway,197,0.0032,0.013,0.001996,0.001996,0.001996,0.001996,0.203593,0.113772,0.001996,0.001996,0.411178,0.021956,0.481038
Inositol phosphate metabolism,42,0.019,0.0319,0.001996,0.001996,0.247505,0.013972,0.053892,0.530938,0.097804,0.193613,0.053892,0.003992,0.161677
