Geneset.Name,Number.of.Genes,meta.p,bootstrap.p,BRCA,COAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,STAD,THCA
Angiopoietin receptor Tie2-mediated signaling,50,0.034,0.0198,0.001996,0.05988,0.42515,0.00998,0.015968,0.578842,0.001996,0.005988,0.071856,0.145709,0.323353
Angiotensin_II-stimulated_signaling_through_G_proteins_and_beta-arrestin,35,0.0228,0.0077,0.001996,0.001996,0.714571,0.001996,0.243513,0.001996,0.005988,0.001996,0.007984,0.01996,0.902196
AP-1 transcription factor network,71,0.0213,0.0096,0.001996,0.005988,0.001996,0.001996,0.273453,0.127745,0.011976,0.001996,0.690619,0.017964,0.00998
Apoptosis signaling pathway,108,0.0145,0.0058,0.001996,0.001996,0.083832,0.001996,0.08982,0.097804,0.02994,0.003992,0.131737,0.001996,0.359281
Arf1 pathway,28,0.0904,0.0818,0.05988,0.041916,0.209581,0.443114,0.219561,0.355289,0.001996,0.493014,0.113772,0.143713,0.397206
Arf6 downstream pathway,15,0.0483,0.031,0.053892,0.001996,0.001996,0.00998,0.005988,0.00998,0.289421,0.173653,0.646707,0.804391,0.858283
Arf6 signaling events,36,0.0121,0.0037,0.001996,0.001996,0.073852,0.001996,0.025948,0.457086,0.001996,0.001996,0.003992,0.071856,0.003992
Arf6 trafficking events,48,0.0201,0.0118,0.001996,0.001996,0.025948,0.011976,0.003992,0.161677,0.11976,0.011976,0.047904,0.001996,0.065868
Arginine and Proline metabolism,48,0.0093,0.002,0.00998,0.001996,0.005988,0.001996,0.001996,0.017964,0.001996,0.02994,0.027944,0.47505,0.001996
ATF-2 transcription factor network,59,0.0218,0.0107,0.001996,0.003992,0.003992,0.001996,0.353293,0.085828,0.027944,0.003992,0.682635,0.011976,0.031936
ATM pathway,34,0.0314,0.0169,0.033932,0.017964,0.087824,0.06986,0.443114,0.001996,0.001996,0.001996,0.562874,0.031936,0.145709
ATR signaling pathway,39,0.0054,3.00E-04,0.001996,0.001996,0.013972,0.013972,0.001996,0.001996,0.001996,0.001996,0.421158,0.015968,0.399202
Atypical NF-kappaB pathway,14,0.125,0.1037,0.003992,0.794411,0.193613,0.033932,0.367265,0.371257,0.02994,0.045908,0.163673,0.001996,0.820359
Aurora A signaling,33,0.0121,0.002,0.001996,0.001996,0.081836,0.063872,0.001996,0.007984,0.001996,0.005988,0.487026,0.021956,0.471058
Aurora B signaling,41,0.0058,5.00E-04,0.001996,0.001996,0.103792,0.095808,0.001996,0.00998,0.001996,0.001996,0.199601,0.001996,0.381238
Axon guidance mediated by netrin,30,0.0349,0.0225,0.001996,0.00998,0.027944,0.001996,0.091816,0.373253,0.001996,0.187625,0.055888,0.043912,0.043912
Axon guidance mediated by semaphorins,19,0.0297,0.0142,0.001996,0.023952,0.03992,0.003992,0.041916,0.315369,0.001996,0.001996,0.337325,0.077844,0.728543
Axon guidance mediated by Slit;Robo,18,0.0708,0.0576,0.053892,0.0499,0.033932,0.459082,0.055888,0.654691,0.003992,0.001996,0.229541,0.033932,0.630739
B cell activation,56,0.0326,0.0188,0.001996,0.017964,0.001996,0.001996,0.500998,0.173653,0.017964,0.031936,0.497006,0.011976,0.508982
B cell receptor signaling,92,0.0406,0.0272,0.001996,0.001996,0.043912,0.011976,0.03992,0.165669,0.007984,0.077844,0.612774,0.025948,0.798403
BARD1 signaling events,29,0.0108,0.0022,0.001996,0.001996,0.003992,0.07984,0.035928,0.001996,0.001996,0.001996,0.275449,0.013972,0.429142
BCR signaling pathway,70,0.0268,0.0141,0.001996,0.001996,0.003992,0.001996,0.035928,0.121756,0.005988,0.035928,0.45509,0.00998,0.516966
Beta1 adrenergic receptor signaling pathway,32,0.0238,0.0105,0.001996,0.001996,0.263473,0.001996,0.02994,0.051896,0.00998,0.035928,0.139721,0.001996,0.423154
Beta1 integrin cell surface interactions,70,0.0186,0.0072,0.001996,0.061876,0.091816,0.001996,0.351297,0.580838,0.001996,0.263473,0.005988,0.037924,0.001996
Beta2 integrin cell surface interactions,29,0.035,0.0217,0.011976,0.025948,0.097804,0.001996,0.103792,0.38523,0.055888,0.001996,0.151697,0.135729,0.021956
Beta3 integrin cell surface interactions,44,0.0141,0.0049,0.001996,0.021956,0.005988,0.001996,0.153693,0.105788,0.001996,0.131737,0.053892,0.103792,0.001996
Beta5 beta6 beta7 and beta8 integrin cell surface interactions,17,0.0635,0.0397,0.001996,0.001996,0.011976,0.147705,0.333333,0.502994,0.005988,0.704591,0.253493,0.55489,0.005988
Blood coagulation,38,0.0226,0.0061,0.001996,0.05988,0.11976,0.001996,0.001996,0.011976,0.055888,0.001996,0.139721,0.634731,0.001996
BMP receptor signaling,42,0.0168,0.0082,0.001996,0.001996,0.177645,0.01996,0.017964,0.10978,0.007984,0.001996,0.107784,0.015968,0.39521
BMP2 signaling(through TAK1),15,0.1059,0.0832,0.07984,0.001996,0.708583,0.001996,0.696607,0.159681,0.287425,0.083832,0.013972,0.03992,0.9002
Butanoate metabolism,17,0.0155,0.0047,0.001996,0.001996,0.015968,0.001996,0.02994,0.001996,0.021956,0.067864,0.053892,0.205589,0.041916
C. elegans endoderm induction Wnt signaling pathway Diagram,91,0.0127,0.0047,0.001996,0.001996,0.067864,0.001996,0.057884,0.115768,0.007984,0.041916,0.041916,0.043912,0.003992
C-MYB transcription factor network,87,0.0161,0.0077,0.001996,0.003992,0.081836,0.001996,0.091816,0.093812,0.001996,0.001996,0.131737,0.015968,0.203593
C-MYC pathway,25,0.0682,0.045,0.003992,0.127745,0.714571,0.015968,0.471058,0.493014,0.003992,0.0499,0.842315,0.149701,0.181637
Cadherin signaling pathway,150,0.0144,0.005,0.001996,0.113772,0.125749,0.001996,0.01996,0.157685,0.001996,0.001996,0.223553,0.001996,0.005988
Calcineurin-regulated NFAT-dependent transcription in lymphocytes,50,0.0403,0.0227,0.001996,0.08982,0.001996,0.003992,0.143713,0.299401,0.001996,0.001996,0.794411,0.125749,0.552894
Calcium signaling in the CD4+ TCR pathway,29,0.0588,0.0394,0.001996,0.241517,0.001996,0.001996,0.431138,0.225549,0.023952,0.105788,0.047904,0.44511,0.558882
Canonical NF-kappaB pathway,24,0.1089,0.0945,0.015968,0.005988,0.015968,0.025948,0.409182,0.189621,0.093812,0.085828,0.710579,0.177645,0.682635
Canonical Wnt signaling pathway,21,0.0401,0.0265,0.003992,0.001996,0.001996,0.113772,0.00998,0.934132,0.001996,0.00998,0.035928,0.193613,0.690619
Canonical Wnt signaling pathway Diagram,91,0.0135,0.0051,0.001996,0.001996,0.077844,0.001996,0.071856,0.121756,0.001996,0.03992,0.045908,0.033932,0.001996
Caspase Cascade in Apoptosis,57,0.0176,0.0073,0.001996,0.001996,0.077844,0.001996,0.221557,0.43513,0.005988,0.00998,0.46507,0.01996,0.171657
CD4 T cell receptor signaling,88,0.0226,0.0075,0.001996,0.151697,0.005988,0.001996,0.169661,0.229541,0.001996,0.001996,0.46507,0.003992,0.706587
CD4 T cell receptor signaling (ERK cascade),45,0.0133,0.0036,0.001996,0.041916,0.001996,0.001996,0.265469,0.249501,0.001996,0.001996,0.199601,0.001996,0.143713
CD4 T cell receptor signaling (JNK cascade),53,0.0157,0.0067,0.003992,0.131737,0.0998,0.001996,0.253493,0.05988,0.001996,0.001996,0.257485,0.027944,0.013972
CD4 T cell receptor signaling (NF-kB cascade),57,0.0145,0.0046,0.001996,0.07984,0.005988,0.001996,0.281437,0.091816,0.001996,0.001996,0.141717,0.005988,0.133733
CD40;CD40L signaling,36,0.0601,0.0382,0.001996,0.077844,0.003992,0.003992,0.315369,0.688623,0.001996,0.00998,0.319361,0.55489,0.796407
CDC42 signaling events,71,0.0397,0.029,0.0499,0.001996,0.001996,0.013972,0.155689,0.646707,0.005988,0.02994,0.451098,0.085828,0.42515
Cell cycle,14,0.0218,0.0082,0.001996,0.015968,0.021956,0.00998,0.021956,0.768463,0.001996,0.001996,0.061876,0.027944,0.033932
Cellular roles of Anthrax toxin,25,0.037,0.0193,0.001996,0.001996,0.001996,0.005988,0.001996,0.125749,0.205589,0.001996,0.113772,0.139721,0.746507
Ceramide signaling pathway,49,0.0238,0.0126,0.005988,0.001996,0.333333,0.001996,0.087824,0.077844,0.091816,0.151697,0.003992,0.013972,0.443114
Cholesterol biosynthesis,12,0.2352,0.2227,0.175649,0.071856,0.978044,0.087824,0.411178,0.542914,0.085828,0.46507,0.616766,0.065868,0.37525
Circadian rhythm pathway,17,0.0235,0.0111,0.007984,0.047904,0.001996,0.770459,0.065868,0.263473,0.001996,0.001996,0.07984,0.015968,0.163673
Citrate cycle,27,0.016,0.0053,0.001996,0.001996,0.001996,0.001996,0.001996,0.38523,0.137725,0.293413,0.351297,0.035928,0.005988
Class I PI3K signaling events,46,0.0415,0.0248,0.001996,0.043912,0.001996,0.243513,0.287425,0.433134,0.001996,0.001996,0.582834,0.063872,0.365269
Class I PI3K signaling events mediated by Akt,35,0.0516,0.0418,0.011976,0.007984,0.251497,0.003992,0.373253,0.171657,0.095808,0.542914,0.015968,0.159681,0.031936
Coregulation of Androgen receptor activity,61,0.0202,0.0115,0.003992,0.001996,0.083832,0.141717,0.113772,0.269461,0.00998,0.001996,0.011976,0.00998,0.301397
CXCR3-mediated signaling events,38,0.0477,0.0313,0.015968,0.001996,0.776447,0.283433,0.093812,0.06986,0.0499,0.001996,0.025948,0.011976,0.43513
CXCR4-mediated signaling events,87,0.0177,0.0045,0.001996,0.001996,0.001996,0.001996,0.473054,0.45509,0.001996,0.001996,0.441118,0.031936,0.271457
Cytoskeletal regulation by Rho GTPase,70,0.0382,0.0197,0.694611,0.025948,0.001996,0.001996,0.07984,0.37525,0.001996,0.045908,0.37525,0.003992,0.329341
De novo purine biosynthesis,26,0.021,0.0075,0.001996,0.001996,0.003992,0.001996,0.087824,0.772455,0.183633,0.001996,0.035928,0.08982,0.013972
De novo pyrimidine deoxyribonucleotide biosynthesis,12,0.0296,0.0083,0.003992,0.001996,0.239521,0.001996,0.10978,0.419162,0.001996,0.001996,0.191617,0.213573,0.0998
Degradation of beta catenin,18,0.0944,0.0765,0.001996,0.171657,0.013972,0.179641,0.051896,0.497006,0.073852,0.942116,0.538922,0.05988,0.045908
Direct p53 effectors,140,0.0081,0.0015,0.001996,0.001996,0.001996,0.001996,0.005988,0.031936,0.001996,0.001996,0.471058,0.183633,0.003992
DNA-PK pathway in nonhomologous end joining,13,0.1704,0.1495,0.239521,0.005988,0.163673,0.001996,0.071856,0.918164,0.195609,0.746507,0.00998,0.067864,0.630739
DNA replication,18,0.0119,0.002,0.017964,0.001996,0.06986,0.121756,0.001996,0.001996,0.001996,0.001996,0.211577,0.083832,0.812375
Downstream signaling in na?ve CD8+ T cells,69,0.0222,0.0075,0.001996,0.08982,0.159681,0.001996,0.043912,0.57485,0.001996,0.001996,0.650699,0.003992,0.187625
Drosophila Toll-like receptor signaling,236,0.0109,0.0027,0.001996,0.001996,0.017964,0.001996,0.003992,0.209581,0.001996,0.001996,0.115768,0.023952,0.329341
Drosophila Wingless;Wnt signaling pathway Diagram,91,0.0133,0.0048,0.001996,0.001996,0.063872,0.001996,0.08982,0.103792,0.003992,0.025948,0.053892,0.043912,0.005988
E-cadherin signaling in keratinocytes,21,0.0713,0.0551,0.155689,0.041916,0.121756,0.001996,0.005988,0.928144,0.07984,0.025948,0.103792,0.371257,0.407186
E-cadherin signaling in the nascent adherens junction,37,0.0365,0.0243,0.001996,0.003992,0.00998,0.015968,0.011976,0.51497,0.005988,0.015968,0.439122,0.305389,0.051896
E2F transcription factor network,77,0.0064,6.00E-04,0.001996,0.001996,0.015968,0.005988,0.001996,0.003992,0.001996,0.001996,0.361277,0.001996,0.179641
EGF receptor signaling pathway,115,0.0108,0.004,0.001996,0.001996,0.043912,0.001996,0.033932,0.021956,0.005988,0.001996,0.041916,0.01996,0.133733
EGF signaling pathway Diagram,28,0.0587,0.0424,0.047904,0.011976,0.041916,0.001996,0.339321,0.159681,0.542914,0.021956,0.007984,0.361277,0.506986
Endogenous TLR signaling,26,0.0411,0.0241,0.003992,0.139721,0.183633,0.011976,0.518962,0.183633,0.001996,0.003992,0.005988,0.49501,0.221557
Endogenous_cannabinoid_signaling,24,0.0345,0.014,0.001996,0.001996,0.077844,0.017964,0.077844,0.421158,0.113772,0.001996,0.007984,0.001996,0.824351
Endothelins,64,0.0106,0.0033,0.001996,0.001996,0.11976,0.003992,0.003992,0.001996,0.133733,0.001996,0.107784,0.051896,0.005988
Enkephalin release,33,0.0264,0.012,0.001996,0.001996,0.852295,0.001996,0.005988,0.165669,0.02994,0.001996,0.053892,0.003992,0.830339
EPHA forward signaling,33,0.0174,0.0065,0.001996,0.003992,0.027944,0.001996,0.734531,0.087824,0.005988,0.001996,0.165669,0.179641,0.001996
EPHA2 forward signaling,19,0.1463,0.119,0.001996,0.277445,0.025948,0.081836,0.333333,0.994012,0.077844,0.756487,0.355289,0.091816,0.05988
EPHB forward signaling,40,0.0494,0.0312,0.007984,0.001996,0.023952,0.001996,0.045908,0.437126,0.137725,0.646707,0.127745,0.041916,0.267465
Ephrin B reverse signaling,26,0.0408,0.0248,0.001996,0.001996,0.023952,0.001996,0.05988,0.025948,0.377246,0.327345,0.149701,0.568862,0.003992
